標誌	,ID,人物,位置,內容,跳轉,效果,條件,目標,佔存用(End)
#,1,心靈教育員,,今天，我們要進行一場小小的『勇氣挑戰』。每個人，都有機會把壓抑的自己釋放出來。記得，你所感受的羞恥，不是罪惡——而是重生的開端。,2,,,,
#,2,心靈教育員,,蔚子衛,3,,,,
#,3,心靈教育員,,張志宏,4,,,,
#,4,心靈教育員,,李家豪,5,,,,
#,5,心靈教育員,,你,6,,,,
#,6,心靈教育員,,現在，請像一隻你最討厭的動物一樣爬行一圈。不要害羞，釋放你心中的束縛！,7,,,,
&,7,主角,,毫不遲疑地像條狗一樣興奮地爬行,8,Fell:Excitement*50,,,
&,7,主角,,猶豫後勉強爬行,8,Fell:Excitement*50,,,
&,7,主角,,拒絕,8,Fell:Suspicion*30,,,
#,8,心靈教育員,,很好，服從是覺醒的第一步。,9,,,,
#,9,心靈教育員,,他的目光落在你身上，語氣溫柔卻像命令,10,,,,
&,10,主角,,接受,11,,,,
&,10,主角,,拒絕,11,,,,
#,11,心靈教育員,,我知道這對你很難……但你正在錯過一次蛻變的機會。,100,,,,
END,100,,,,,,,,