標誌,ID,人物,位置,內容,跳轉,效果,條件,目標,佔存用(End),背景
#,3,心靈教育員,,歡迎來到蛻變的起點。我不是你的老師，我只是你內心深處的鏡子。,4,,,,,
#,4,心靈教育員,,你不是破碎的，只是還沒允許自己，去愛那個『不完美』的你。,5,,,,,
&,5,主角,,他說得太他媽有道理了！！！我要給他買下去！,6,Fell:Excitement*10,,,,
&,5,主角,,喔～not bad,6,Fell:Excitement*5,,,,
&,5,主角,,他在說什麼雞巴？我怎麼聽不懂？？？,6,Fell:Suspicion*30,,,,
#,6,心靈教育員,,這是我們的第一個儀式——自我暴露。每個人都要站起來，說出一個你從沒告訴過別人的羞恥秘密。,7,,,,,
#,7,旁白,,你上台了,8,,,,,演講
&,8,主角,,我曾經在公司裡面看野獸前輩，然後老闆發現後就被炒魷魚了，但每次回想到這件事發生的瞬間會使我高潮！！！気持ちいい！！！」,9,Fell:Excitement*20,,,,演講
&,8,主角,,我……我沒有任何秘密。,9,,,,,演講
&,8,主角,,小時候我把一整條蟬幼蟲塞進鼻孔裡，結果牠在我鼻子裡面羽化了……我爸叫我『天道蟬神』叫了三年。,9,Fell:Suspicion*30,,,,演講
&,8,主角,,輸入你的秘密(惡魔的低語),9,,,,,演講
#,9,心靈教育員,,很...很好...?(what the fuck is this?)，Oh right 好吧，痛苦與慾望是一體兩面的。唯有正視，才能掌控。,10,,,,,
#,10,心靈教育員,,你做得很好，但這只是開始。真正的『興奮』，是在你願意完全交出自己的那一刻。,11,,,,,
#,11,主角,,為什麼……我竟然有種被理解的感覺？即使他剛剛幾乎是在剝開我，我卻……感到興奮？,100,,,,,
END,100,,,,,,,,,
STORE,101,,,,,,,,,